item,keyid,vars,constl,opaspr,dtype,ampas,assgn,arith,logrel,block,decl,exprn,lrvalue,incdcr,varscop,fncpro,init,itcpt,selcpt,fncpar,countit,eventit,multi,nestit,fncdef,callfnc,pasaddr,stdio,conti,exitlp,endlp,beflp,ifelse,ifseri,switch,scanf,printf,break,prepost,elseif,return,default,constr,fncs,sequen
ISTMT8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISTMT9,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
ISTMT10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISTMT11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
ISTMT12,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
ISNGL1,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,
ISNGL2,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
ISNGL3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,1
ISNGL4,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
ISNGL5,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1
NITR1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
NITR2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
NITR3,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
NITR4,,,,,,,,,,1,,,,,,,1,1,,,1,1,,1,,,,,,,1,1,,,,,,,,,,,,,1
NITR5,,,,,,,,,,1,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,1
W1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
W2,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1
W3,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1
W4,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1
W5,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
W6,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
W7,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1
W8,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1
W9,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1
W10,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1
DOL1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
DOL2,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1
DOL3,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1
DOL4,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
DOL5,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1
DOL6,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
DOL7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
DOL8,,,,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1
DOL9,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,1
FOR1,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,
FOR2,,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,
FOR3,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,
FOR4,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,
FOR5,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
FOR6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR7,,,,,,,,,,,,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
SW1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,1,,,1
SW2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
SW3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
SW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1
SW5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1
SW6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
SW7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
SW8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
SW9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
SW10,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
SW11,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,1
DEF1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1
DEF2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1
DEF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
DEF4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,1
DEF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
BRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
BRK2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
BRK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
BRK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
BRK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
BRK6,,,,1,,,,,,1,,1,,1,,,,1,,,,1,,,,,,,,,,1,,,1,,,1,,,,,,,1
FNC1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNC2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
FNC3,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
FNC4,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FNC5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
FNC6,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,
FNC7,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,
FNC8,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
FNC9,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
FNC10,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,
FNC11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
FP1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FP2,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1
FP3,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,1
FP4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FP5,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FP6,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
FP7,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
FP8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
FP9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
FP10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
FP11,,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1
FP12,,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,1
FR1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
FR2,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,1
FR3,,,,1,,,,,,1,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1
FR4,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
FR5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,
FR6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,
FR7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,
FR8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
FR9,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
FR10,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
FR11,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,
FC1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
FC2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
FC3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
FC4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
FC5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
FC6,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
FC7,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FC8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
FA1,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,1
FA2,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1
FA3,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA5,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FA6,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FA7,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FFP1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFP3,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FFP4,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FFP5,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
FFP6,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
ES1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES3,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES4,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
