item,1CM-F,2CM-F,3CM-F,4CM-F,5CM-F,6CM-M,7CM-F,8CM-F,9CM-M,10CM-F,11CM-M,12CM-F,13CM-F,14CM-F,15CM-M,16CM-M,17CM-F,18CM-F,19CM-F,20CM-F,21CM-F,22CM-M,23CM-F,24CM-M,25CM-F,26CM-F,27CM-F,28CM-M,29CM-M,30CM-M,31CM-M,32CM-M,33CM-F,34CM-F,35CM-M,36CM-M,37CM-M,38CM-F,39CM-M,1CMP-M,2CMP-F,3CMP-F,4CMP-F,5CMP-M,6CMP-M,7CMP-M,8CMP-F,9CMP-F,10CMP-F,11CMP-F,12CMP-M,1Sp-M,2Sp-M,3Sp-M,4Sp-M,5Sp-M,6Sp-M,7Sp-F,8Sp-F,9Sp-M,10Sp-F,11Sp-F,12Sp-M,13Sp-M,14Sp-F,15Sp-F,16Sp-M,17Sp-M,18Sp-M,1J-M,2J-M,1Se-M,2Se-F,3Se-F,4Se-M,5Se-M,6Se-M,7Se-F,8Se-F,9Se-M
FOR4,a,a,a,a,a,,b,a,a,a,a,a,a,a,a,a,b,a,a,a,a,,a,,,a,a,b,a,a,b,d,b,a,a,a,b,a,,a,a,a,a,,a,a,,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a
FOR5,c,c,c,c,c,,c,c,a,c,c,c,a,c,c,c,a,a,c,c,c,,c,,,c,a,a,c,c,d,c,c,c,c,c,c,c,,c,c,c,c,,c,c,,a,c,c,c,c,c,c,a,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,a,c,c,c,c,c,c,a,c
FOR6,a,a,a,a,b,,b,b,a,c,a,b,b,b,a,a,a,a,b,,a,,b,,,a,b,b,a,a,a,a,a,b,a,a,b,b,,b,a,a,c,,a,b,,a,a,b,b,b,a,b,c,a,b,b,a,a,a,a,b,a,b,a,b,b,b,a,a,b,c,b,a,,b,b,a,a
FOR7,d,b,b,b,b,,b,a,b,d,b,d,d,d,a,d,a,a,d,d,d,,b,,,b,a,a,b,d,a,d,b,b,b,d,a,d,,d,b,c,e,,d,d,,b,b,d,b,d,d,d,b,b,d,b,d,e,b,d,d,d,d,b,b,d,d,b,b,b,b,b,b,b,b,d,d,c
SW1,a,a,a,a,a,,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,,b,,,a,a,a,a,a,b,a,a,a,a,a,b,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a
SW2,b,a,b,a,b,,a,b,a,a,a,c,b,b,a,a,b,b,b,a,a,,b,,,a,a,a,a,a,b,a,a,a,a,a,b,c,,a,a,b,a,,a,a,,b,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,b,b,a
SW3,a,a,a,a,c,,a,b,a,,a,a,a,a,a,a,d,d,a,a,a,,b,,,a,c,c,c,a,c,a,a,a,a,a,c,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
SW4,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,,b,,,a,a,b,a,a,a,a,a,a,a,a,b,a,,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
SW5,e,e,e,e,e,,e,e,e,e,e,e,e,e,e,e,b,b,e,e,c,,c,,,e,e,b,e,e,b,e,e,e,e,e,b,e,,e,e,e,e,,e,e,,e,e,e,e,e,e,e,c,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
SW6,a,a,a,a,a,,b,b,a,a,a,a,c,a,a,a,b,b,a,c,c,,a,,,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,,a,a,,a,a,b,a,b,a,b,b,a,a,a,b,c,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a
SW7,c,c,c,c,c,,c,c,c,a,c,c,c,c,c,c,b,b,c,c,c,,c,,,c,c,b,b,b,b,c,c,c,c,c,,c,,c,c,a,c,,b,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c
SW8,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,,b,,,a,a,a,a,a,b,a,a,a,a,a,a,a,,a,c,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
SW9,c,c,c,c,b,,b,b,b,c,b,c,b,d,c,c,b,b,c,c,c,,b,,,c,c,b,b,b,c,c,c,b,c,c,a,b,,c,c,c,c,,c,c,,c,c,b,c,b,b,c,c,c,c,b,c,c,c,b,c,c,c,c,c,c,c,a,c,c,b,c,c,c,c,c,b,c
SW10,c,c,a,c,c,,c,c,c,c,c,c,c,c,c,b,c,a,c,c,c,,c,,,c,c,b,c,a,,c,c,c,c,c,a,c,,c,c,a,c,,c,c,,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c
SW11,c,b,c,c,d,,a,a,b,c,a,c,a,b,c,d,b,c,c,c,c,,c,,,b,d,b,a,d,c,c,c,c,c,c,b,a,,c,c,c,c,,d,c,,c,c,c,c,b,a,c,c,c,c,c,c,c,c,d,c,c,c,b,c,c,c,c,a,c,b,b,c,c,d,c,c,c
DEF1,d,d,d,d,d,,d,c,d,c,d,d,d,c,d,d,d,b,d,d,d,,c,,,d,d,a,d,c,a,d,d,d,d,d,b,d,,d,d,d,d,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
DEF2,d,c,c,d,a,,a,a,c,a,a,d,a,d,d,d,a,a,d,d,d,,c,,,d,d,e,a,a,c,d,d,d,c,c,d,a,,d,d,d,d,,d,d,,d,d,c,d,d,a,d,c,d,d,c,d,d,d,d,d,d,d,d,a,a,d,d,d,d,a,d,d,d,d,d,d,d
