item,1CM-F,2CM-F,3CM-F,4CM-F,5CM-F,6CM-M,7CM-F,8CM-F,9CM-M,10CM-F,11CM-M,12CM-F,13CM-F,14CM-F,15CM-M,16CM-M,17CM-F,18CM-F,19CM-F,20CM-F,21CM-F,22CM-M,23CM-F,24CM-M,25CM-F,26CM-F,27CM-F,28CM-M,29CM-M,30CM-M,31CM-M,32CM-M,33CM-F,34CM-F,35CM-M,36CM-M,37CM-M,38CM-F,39CM-M,1CMP-M,2CMP-F,3CMP-F,4CMP-F,5CMP-M,6CMP-M,7CMP-M,8CMP-F,9CMP-F,10CMP-F,11CMP-F,12CMP-M,1Sp-M,2Sp-M,3Sp-M,4Sp-M,5Sp-M,6Sp-M,7Sp-F,8Sp-F,9Sp-M,10Sp-F,11Sp-F,12Sp-M,13Sp-M,14Sp-F,15Sp-F,16Sp-M,17Sp-M,18Sp-M,1J-M,2J-M,1Se-M,2Se-F,3Se-F,4Se-M,5Se-M,6Se-M,7Se-F,8Se-F,9Se-M
P1,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,b,a,b,a,b,b,b,a,,a,a,b,a,a,a,b,b,b,a,a,b,a,b,b,a,a,b,b,b,b,b,b,b,b,a,b,b,b,b,a,b,b,b,b
P2,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,b,a,a,a
P3,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,b,b,b,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,b,a,a,a,b,a,b,a,a,a,a,a,b
P4,a,a,a,a,a,a,b,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,b,b,b,a,a,a,a,b,b,a,a,b,a,b,b,a,b,b,b,a,b,b,a,a,a,a,a,a,a,b,b,b,a,b,a,b,b,a,a,b,b,b,a,a,a,a,b,a,a,a,a,b,b,b,a,b,a
P5,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a
P6,e,c,c,b,c,c,e,c,,e,c,d,c,e,b,c,e,a,b,c,d,c,e,b,e,e,c,f,e,b,e,d,c,c,d,c,c,c,e,e,e,d,d,e,f,d,d,e,b,c,d,d,e,c,c,d,c,e,a,d,c,d,d,c,d,d,d,,c,d,d,d,e,d,d,d,c,c,e,c
P7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
P8,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a
P9,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,b,a,b,b,b,b,b,b,a,b,a
P10,a,a,b,b,a,a,,a,b,b,b,b,a,b,a,b,b,b,a,a,a,b,b,b,b,b,b,b,a,,b,a,b,b,b,b,b,b,b,b,b,b,a,a,a,b,b,b,b,a,b,b,b,b,b,b,b,a,b,b,b,b,b,a,a,a,a,b,a,a,a,a,b,b,a,b,b,a,b,a
P11,b,a,a,a,b,,a,a,b,b,b,a,b,b,a,b,a,b,a,b,b,a,b,a,b,b,b,b,b,a,a,a,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,,b,b,b,b,b,b,b,b,b,b,b,b,b
P12,a,a,a,b,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a
MP1,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,b,a,c,a,a,a,a,b,a,c,a,a,a,a,a,a,a,b,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
MP2,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
MP3,b,a,b,b,b,a,b,a,b,b,b,c,b,b,b,b,a,b,b,b,c,b,b,b,b,b,b,a,b,c,b,b,b,b,b,b,b,b,,b,b,b,b,b,c,b,b,b,b,b,b,a,b,b,b,a,b,a,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b
MP4,b,b,b,b,b,a,b,b,b,a,b,b,c,b,b,a,b,d,b,b,a,a,c,b,b,a,a,b,a,b,c,b,a,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
MP5,c,c,c,c,c,,c,c,c,a,c,c,b,c,c,a,c,b,c,c,c,a,b,c,c,a,a,c,c,,b,c,a,c,a,a,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,a,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
MP6,a,,d,a,a,a,a,c,a,a,a,d,a,a,a,b,a,a,a,c,c,b,b,c,a,a,a,c,a,b,b,a,b,a,b,a,a,a,a,d,a,a,a,a,d,a,a,a,a,a,a,a,d,a,a,a,a,d,c,a,c,b,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a
MP7,b,b,d,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,c,a,b,a,a,b,b,b,b,c,b,d,b,b,a,b,a,b,b,b,b,b,b,c,b,b,d,b,b,b,b,b,a,b,d,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
MP8,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
MP9,c,a,c,c,c,,c,a,c,c,a,a,a,a,a,a,c,a,a,a,a,b,c,d,a,a,c,a,a,c,a,a,c,c,c,a,a,c,c,e,a,c,c,,c,a,a,a,a,a,a,a,a,a,a,c,a,a,c,a,a,a,a,a,a,c,,a,a,a,c,a,a,c,a,a,c,a,a,a
MP10,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
LP1,b,b,a,b,b,c,b,b,b,a,b,b,c,b,a,a,b,b,c,b,a,a,b,c,b,b,b,b,b,c,a,a,c,b,a,b,a,c,b,b,a,b,a,b,b,b,b,b,b,b,b,b,b,a,a,a,,b,a,b,b,b,b,b,b,b,a,b,b,a,b,b,b,b,a,b,a,a,b,b
LP2,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,b,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a
LP3,a,a,b,a,a,a,a,a,a,a,a,c,b,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,b,a,a,a,c,a,a,b,a,a,a,a,a,a,a,a,a,b,b,a,a,a,b,b,a,b,b,b,a,a,a,a,a,a,b,a,a,a,a,b,a,a
LP4,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a
LP5,a,a,b,a,a,b,b,a,,c,b,c,b,b,b,b,b,a,c,b,c,b,a,b,b,a,b,b,c,a,b,b,a,a,a,b,b,b,a,a,b,b,a,,b,b,b,a,b,b,b,b,a,b,a,b,b,b,a,b,a,a,b,b,b,a,b,a,b,b,b,b,b,b,b,b,b,a,b,b
LP6,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,a,b,a,c,a,a,a,a,c,b,a,a,c,a,b,a,a,a,a,b,a,b,a,a,a,a,a,a,a,b,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b
LP7,c,a,c,a,c,a,c,a,,c,b,c,c,a,a,c,a,a,c,a,c,b,c,c,c,a,a,c,c,c,b,a,c,a,c,a,a,c,a,a,a,a,a,c,c,a,a,a,a,b,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a
LP8,a,a,a,a,a,,a,b,a,c,a,c,a,a,a,b,a,a,a,a,a,a,a,a,b,a,a,a,c,a,c,b,c,a,a,a,b,a,a,a,a,a,c,a,a,a,a,b,a,a,a,,c,a,a,a,b,a,a,a,a,c,a,a,a,b,a,b,a,a,b,a,a,a,a,a,a,b,a,b
OLP1,a,b,c,a,a,a,a,a,,a,a,c,a,a,a,a,a,a,a,a,a,a,c,c,a,a,a,b,c,a,a,b,c,a,a,a,b,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,a,c,a,a,c,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,a,a,a,a,b,c,a
OLP2,b,b,d,b,c,b,b,b,a,c,b,b,b,b,b,a,b,b,d,b,b,b,d,b,c,b,a,b,c,b,b,b,d,c,b,b,a,b,,c,b,b,d,b,d,c,b,b,c,b,b,c,b,b,c,c,c,b,c,c,c,c,b,c,c,c,c,a,c,c,c,a,b,c,c,c,c,c,a,b
OLP3,a,a,a,a,a,a,a,a,a,d,a,a,a,b,a,a,a,a,a,a,a,a,b,a,a,a,a,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
OLP4,a,a,d,c,a,a,d,c,,c,a,a,d,c,a,a,a,c,d,c,d,b,c,c,a,a,c,a,d,a,a,a,a,a,a,a,a,d,a,a,c,c,d,a,d,a,c,a,d,c,a,c,c,c,c,c,c,c,c,d,c,c,c,a,d,a,c,c,a,c,b,c,b,a,c,a,a,a,c,a
OLP5,a,a,a,a,a,a,a,a,a,c,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,c,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
OLP6,a,a,c,a,c,a,c,b,,,b,c,c,a,a,c,a,a,a,a,c,c,c,c,c,a,a,a,c,c,a,a,c,c,c,a,b,c,b,a,a,c,c,b,c,b,a,a,c,b,a,a,c,a,a,a,b,c,b,a,a,c,c,c,c,a,a,a,a,a,a,c,c,a,a,a,a,b,c,a
S1,a,a,a,a,c,a,a,a,a,c,a,c,c,a,a,b,b,b,c,a,a,a,a,c,c,a,a,b,c,a,b,a,c,a,a,b,a,a,a,c,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,c,a,a,b,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a
S2,a,b,a,a,b,a,a,a,b,c,a,c,,a,a,a,b,b,a,b,b,a,a,b,b,b,b,a,a,a,a,a,c,a,a,a,b,c,a,a,a,b,c,a,,b,a,a,a,a,b,b,a,a,a,a,b,b,a,b,a,a,b,b,a,b,b,b,b,a,b,b,a,a,a,a,b,b,b,b
S3,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
S4,b,a,b,b,a,b,b,b,c,b,b,c,b,b,a,a,b,b,b,b,b,b,b,c,b,b,b,a,c,b,a,b,c,b,b,a,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b
S5,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
S6,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
C1,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,,a,a,a
C2,,b,a,b,b,a,a,b,,c,a,b,a,a,a,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,a,a,a,b,a,a,b,a,b,b,b,b,b,,b,b,b,b,b,b,b,a,a,a,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b
C3,b,b,b,b,b,,b,b,b,b,b,b,a,b,b,b,b,a,b,b,b,b,a,a,b,b,b,b,b,d,b,d,,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,c
C4,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,d,b,b,b,b,a,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
C5,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
D1,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
D2,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
D3,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b
D4,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
D5,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
D6,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
D7,d,d,c,c,d,,d,d,c,d,d,d,d,d,d,d,d,c,c,d,d,d,d,d,d,d,d,d,d,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,d,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
D8,c,c,d,d,c,,c,c,d,c,c,c,c,c,c,c,c,d,a,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,e,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,d,c,d,c,c,c,c,c,c,c,c,c,c,c,c,c,c,d,c,c,c,c,c,c,c
D9,b,b,b,b,b,,b,a,a,b,b,b,b,b,a,a,,b,b,b,b,b,b,b,b,b,b,a,b,a,a,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,a,,b,b,b,b,c,a,b,b
D10,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,a,a,b,b
D11,d,d,d,d,d,,d,d,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,d,d,d,d,d,d,b,d,d,d,d,d,d,d,d,b,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,d,c,d,d
D12,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,b,d,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
D13,b,a,a,b,a,,a,b,a,b,a,a,b,a,a,a,b,b,a,a,a,a,a,b,b,a,a,d,a,b,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a
D14,b,a,a,b,a,,a,b,a,b,a,a,b,a,a,a,b,b,a,a,a,a,a,b,b,a,a,d,a,b,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,b,a,a,a,a,b,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a
D15,b,a,b,b,b,,a,b,a,b,b,b,b,b,b,a,a,b,b,b,a,a,b,b,b,b,b,d,b,b,a,b,b,b,b,b,a,b,b,a,a,a,b,b,b,b,b,b,b,b,b,b,d,b,b,b,b,b,,b,b,a,b,a,b,b,a,a,a,a,b,a,b,b,b,a,b,b,b,b
DO1,a,,b,a,a,,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,b,a,a,a,c,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
DO2,b,,c,a,b,,c,a,c,b,b,a,a,b,a,c,a,a,c,a,a,a,a,a,a,a,a,c,a,a,a,a,,a,a,a,a,a,,a,a,a,a,a,c,a,a,a,a,a,a,a,c,a,a,b,a,a,,a,a,c,a,a,a,c,a,a,a,a,a,c,c,a,a,a,a,a,c,b
DO3,,b,a,a,b,,b,b,a,e,b,b,b,b,b,b,a,b,a,b,b,b,a,b,b,b,b,b,b,e,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,b,b,b,b,,b,b,e,b,b,a,b,a,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
DO4,b,a,b,b,b,,b,b,b,c,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,a,b,b,a,b,b,b,b,b,a,b,a,b,b,b,b,a,b,b,a,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b
DO5,a,b,b,a,a,,b,b,a,c,a,a,a,b,a,b,a,a,a,a,b,a,a,a,a,a,b,a,a,a,b,a,a,b,a,a,b,a,b,a,a,a,a,b,a,b,a,b,a,a,b,a,a,b,b,a,a,a,,b,a,a,b,a,b,a,a,b,a,b,b,b,a,a,a,b,a,b,b,a
DO6,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a
DO7,a,b,b,b,a,,b,a,a,b,a,c,b,a,b,a,a,a,b,a,a,b,b,b,b,a,b,b,b,b,a,b,a,a,b,a,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,b,a
DO8,a,b,b,a,b,,b,b,a,b,a,c,b,a,b,a,a,a,b,a,a,b,b,b,b,a,b,b,b,b,a,a,a,a,b,a,a,a,b,b,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a
DO9,a,a,a,a,a,,a,a,a,e,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a
DO10,a,a,a,a,a,,a,a,a,c,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,b,a,,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,b,a
V1,b,b,a,b,b,,b,b,b,b,b,b,b,b,a,b,b,a,b,b,b,a,a,a,b,b,b,a,a,b,a,b,a,b,a,b,b,b,a,b,b,b,b,,b,b,b,b,b,b,a,a,a,b,a,b,a,b,,b,b,b,a,b,b,b,b,a,b,b,b,b,a,b,b,b,b,b,b,a
V2,a,a,a,a,a,,a,a,a,c,b,c,c,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,b,a,b,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
V3,a,b,a,a,a,,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,b,b,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,b,a,b,a,a,a,a,,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a
V4,a,a,a,a,a,,c,a,a,c,a,a,a,a,a,a,a,c,c,a,a,c,a,a,a,a,a,c,a,c,a,a,a,b,a,a,a,b,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
V5,a,a,a,a,a,,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
V6,b,b,b,b,b,,b,b,b,b,b,b,b,a,b,b,a,b,b,b,b,a,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
V7,a,b,b,b,b,,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,a,a,a,b,b,b,b,b,a,a,a,b,b,b,b,b,b,,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
V8,b,b,a,a,b,,b,a,a,a,b,b,b,a,a,a,b,b,b,a,b,b,b,a,b,b,b,b,b,a,a,a,b,a,a,b,,a,b,a,b,b,b,b,b,b,b,b,a,b,b,b,b,b,a,b,b,b,,c,b,b,a,b,b,b,a,a,b,a,b,b,b,b,b,b,a,b,b,b
V9,a,a,a,b,a,,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,b,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,,a,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,a,a,a
V10,b,b,b,a,a,,b,b,a,a,a,a,b,a,a,a,a,a,b,a,a,b,a,b,a,a,a,a,a,a,b,b,a,a,a,a,a,c,a,a,b,a,a,a,a,a,b,a,b,b,a,a,a,a,a,a,a,a,,a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
VD1,b,b,b,b,b,,b,b,a,b,b,b,b,b,a,a,a,b,b,b,b,b,b,b,b,a,a,c,a,b,a,b,a,a,a,a,a,b,a,b,a,b,a,a,a,a,a,a,b,b,b,a,b,b,b,b,a,b,,b,b,b,b,a,b,b,a,b,a,a,a,a,b,a,a,a,a,b,a,a
